1588,Адыгейск
1590,Афипсип
1600,Козет
1229,Кошехабль
1233,Майкоп
1083,Натырбово
1617,Псекупс
1350,Тахтамукай
1624,Тлюстенхабль
1627,Энем
323,Яблоновский
822,Горно-Алтайск
77,Майма
795,Алейск
6,Алтайское
1856,Баево
274,Барнаул
814,Белокуриха
275,Бийск
803,Благовещенка
809,Бурла
808,Быстрый Исток
2334,Верх-Суетка
49,Веселоярск
13276,Власиха
804,Волчиха
792,Гальбштадт
783,Горняк
2335,Ельцовка
801,Завьялово
1858,Залесово
98,Заринск
784,Змеиногорск
787,Зональное
701,Калманка
786,Камень-на-Оби
815,Ключи
1861,Косиха
791,Красногорское
812,Краснощеково
1857,Крутиха
805,Кулунда
813,Курья
816,Кытманово
1271,Мало-Енисейское
782,Мамонтово
1147,Михайловское
796,Новичиха
788,Новоалтайск
1859,Новоегорьевское
13278,Новосиликатный
780,Павловск
779,Панкрушиха
810,Петропавловское
797,Поспелиха
781,Ребриха
802,Родино
800,Романово
798,Рубцовск
13090,Сибирский
806,Славгород
1860,Советское
2336,Солонешное
2332,Солтон
799,Староалейское
954,Степное Озеро
1863,Табуны
817,Тальменка
820,Тогул
794,Топчиха
790,Троицкое
785,Тюменцево
2337,Угловское
2330,Усть-Калманка
2331,Усть-Чарышская Пристань
807,Хабары
2333,Целинное
811,Чарышское
1862,Шелаболиха
793,Шипуново
13277,Южный
778,Яровое
896,Белогорск
286,Благовещенск
918,Богородское
13370,Дактуй Магдагачинский р-он
3224,Завитинск
2329,Зея
13328,Ивановка
13012,Магдагачи
13065,Невер
13447,Новобурейский
13013,Райчихинск
3229,Свободный
13396,Серышево
13064,Сковородино
1763,Талакан
13294,Тыгда
318,Тында
13395,Углегорск
1760,Шимановск
402,Архангельск
13292,Архангельск-55
1952,Березник
1955,Васьково
994,Вельск
1953,Верхняя Тойма
2342,Ильинско-Подомское
1954,Каргополь
1948,Коноша
1170,Коряжма
1756,Котлас
2340,Красноборск
13014,Мезень
1951,Мирный
13095,Мухонская
997,Новодвинск
1949,Няндома
1957,Обозерский
2341,Октябрьский
1950,Онега
406,Плесецк
2339,Савинский
996,Северодвинск
13411,Североонежск
13017,Соловецкий
2338,Холмогоры
1956,Цигломень
432,Астрахань
145,Ахтубинск
2402,Верхний Баскунчак
2403,Володарский
2404,Енотаевка
2405,Замьяны
2406,Знаменск
2407,Икряное
2408,Камызяк
2409,Красные Баррикады
13112,Красный Яр
2410,Лиман
2411,Нариманов
2412,Началово
2413,Нижний Баскунчак
13287,Осыпной Бугор
2414,Средний Баскунчак
13121,Харабали
2415,Черный Яр
13097,Авдон Уфимский р-он
634,Агидель
1767,Азово
2416,Аксаково село
2417,Аксеново
90,Актау
651,Акъяр
13136,Алексеевка
663,Архангельское
648,Аскарово
661,Аскино
13203,Аэропорт
646,Баймак
637,Бакалы
631,Белебей
249,Белорецк
638,Бижбуляк
548,Бирск
656,Благовещенск
660,Большеустьикинское
662,Буздяк
649,Бураево
654,Верхнеяркеево
643,Верхние Киги
667,Верхние Татышлы
658,Давлеканово
13202,Дема
405,Дюртюли
636,Ермекеево
650,Ермолаево
2418,Жуково
647,Зилаир
13004,Зубово
673,Иглино
630,Исянгулово
672,Ишимбай
668,Калтасы
639,Караидель
655,Кармаскалы
632,Киргиз-Мияки
665,Красная Горка
635,Красноусольский
12998,Красный Ключ Нуримановский р-н
653,Кумертау
1265,Курасково
669,Кушнаренково
303,Майск
13205,Максимовка
666,Малояз
2419,Межгорье
946,Мелеуз
1139,Месягутово
2420,Михайловка
644,Мишкино
1351,Мокроусово
633,Мраково
629,Нефтекамск
2421,Никифарово
652,Николо-Березовка
645,Новобелокатай
