1,cities,"АБАКАН",city--abakan,"2013-06-27 17:43:13.267002","2013-06-27 17:43:13.267002"
2,cities,"АНАДЫРЬ",city--anadyr,"2013-06-27 17:43:13.492915","2013-06-27 17:43:13.492915"
3,cities,"АНАПА",city--anapa,"2013-06-27 17:43:13.705509","2013-06-27 17:43:13.705509"
4,cities,"АРХАНГЕЛЬСК",city--arhangelsk,"2013-06-27 17:43:13.840519","2013-06-27 17:43:13.840519"
5,cities,"АСТРАХАНЬ",city--astrahan,"2013-06-27 17:43:13.975060","2013-06-27 17:43:13.975060"
6,cities,"БАЙКОНУР",city--bajkonur,"2013-06-27 17:43:14.109117","2013-06-27 17:43:14.109117"
7,cities,"БАРНАУЛ",city--barnaul,"2013-06-27 17:43:14.254550","2013-06-27 17:43:14.254550"
8,cities,"БЕЛГОРОД",city--belgorod,"2013-06-27 17:43:14.389401","2013-06-27 17:43:14.389401"
9,cities,"БИРОБИДЖАН",city--birobidzhan,"2013-06-27 17:43:14.534949","2013-06-27 17:43:14.534949"
10,cities,"БЛАГОВЕЩЕНСК",city--blagoveshhensk,"2013-06-27 17:43:14.669292","2013-06-27 17:43:14.669292"
11,cities,"БРЯНСК",city--brjansk,"2013-06-27 17:43:14.803604","2013-06-27 17:43:14.803604"
12,cities,"ВЕЛИКИЙ НОВГОРОД",city--velikij-novgorod,"2013-06-27 17:43:14.937814","2013-06-27 17:43:14.937814"
13,cities,"ВЛАДИВОСТОК",city--vladivostok,"2013-06-27 17:43:15.072176","2013-06-27 17:43:15.072176"
14,cities,"ВЛАДИКАВКАЗ",city--vladikavkaz,"2013-06-27 17:43:15.207856","2013-06-27 17:43:15.207856"
15,cities,"ВЛАДИМИР",city--vladimir,"2013-06-27 17:43:15.342115","2013-06-27 17:43:15.342115"
16,cities,"ВОЛГОГРАД",city--volgograd,"2013-06-27 17:43:15.476592","2013-06-27 17:43:15.476592"
17,cities,"ВОЛОГДА",city--vologda,"2013-06-27 17:43:15.599661","2013-06-27 17:43:15.599661"
18,cities,"ВОРКУТА",city--vorkuta,"2013-06-27 17:43:15.722851","2013-06-27 17:43:15.722851"
19,cities,"ВОРОНЕЖ",city--voronezh,"2013-06-27 17:43:15.846078","2013-06-27 17:43:15.846078"
20,cities,"ГОРНО-АЛТАЙСК",city--gorno-altajsk,"2013-06-27 17:43:15.980468","2013-06-27 17:43:15.980468"
21,cities,"ГРОЗНЫЙ",city--groznyj,"2013-06-27 17:43:16.125949","2013-06-27 17:43:16.125949"
22,cities,"ДУДИНКА",city--dudinka,"2013-06-27 17:43:16.271274","2013-06-27 17:43:16.271274"
23,cities,"ЕКАТЕРИНБУРГ",city--ekaterinburg,"2013-06-27 17:43:16.416650","2013-06-27 17:43:16.416650"
24,cities,"ЕЛИЗОВО",city--elizovo,"2013-06-27 17:43:16.562054","2013-06-27 17:43:16.562054"
25,cities,"ИВАНОВО",city--ivanovo,"2013-06-27 17:43:16.707545","2013-06-27 17:43:16.707545"
26,cities,"ИЖЕВСК",city--izhevsk,"2013-06-27 17:43:16.854298","2013-06-27 17:43:16.854298"
27,cities,"ИРКУТСК",city--irkutsk,"2013-06-27 17:43:16.999844","2013-06-27 17:43:16.999844"
28,cities,"ЙОШКАР-ОЛА",city--ioshkar-ola,"2013-06-27 17:43:17.145608","2013-06-27 17:43:17.145608"
