1,1588,"адыгейск","2013-10-07 13:43:19.618023","2013-10-07 14:15:56.580025"
2,1590,"афипсип","2013-10-07 13:43:19.866918","2013-10-07 14:15:56.819404"
3,1600,"козет","2013-10-07 13:43:20.023094","2013-10-07 14:15:56.986728"
4,1229,"кошехабль","2013-10-07 13:43:20.224107","2013-10-07 14:15:57.165570"
5,1233,"майкоп","2013-10-07 13:43:20.402810","2013-10-07 14:15:57.355430"
6,1083,"натырбово","2013-10-07 13:43:20.671046","2013-10-07 14:15:57.534215"
7,1617,"псекупс","2013-10-07 13:43:20.827659","2013-10-07 14:15:57.713035"
8,1350,"тахтамукай","2013-10-07 13:43:20.984177","2013-10-07 14:15:57.869418"
9,1624,"тлюстенхабль","2013-10-07 13:43:21.151868","2013-10-07 14:15:58.048241"
10,1627,"энем","2013-10-07 13:43:21.330644","2013-10-07 14:15:58.215980"
11,323,"яблоновский","2013-10-07 13:43:21.477423","2013-10-07 14:16:18.221294"
12,822,"горно-алтайск","2013-10-07 13:43:21.633807","2013-10-07 14:16:18.421962"
13,77,"майма","2013-10-07 13:43:21.779356","2013-10-07 14:16:18.556391"
14,795,"алейск","2013-10-07 13:43:21.936107","2013-10-07 14:16:18.735269"
15,6,"алтайское","2013-10-07 13:43:22.092566","2013-10-07 14:16:18.891783"
16,1856,"баево","2013-10-07 13:43:22.238031","2013-10-07 14:16:19.048581"
17,274,"барнаул","2013-10-07 13:43:22.372383","2013-10-07 14:16:19.204992"
18,814,"белокуриха","2013-10-07 13:43:22.517668","2013-10-07 14:16:19.350469"
19,275,"бийск","2013-10-07 13:43:22.685437","2013-10-07 14:16:19.495898"
20,803,"благовещенка","2013-10-07 13:43:22.864279","2013-10-07 14:16:19.642815"
21,809,"бурла","2013-10-07 13:43:23.043076","2013-10-07 14:16:19.788219"
22,808,"быстрый исток","2013-10-07 13:43:23.189728","2013-10-07 14:16:19.944908"
23,2334,"верх-суетка","2013-10-07 13:43:23.468767","2013-10-07 14:16:20.112465"
24,49,"веселоярск","2013-10-07 13:43:23.625127","2013-10-07 14:16:20.280105"
25,13276,"власиха","2013-10-07 13:43:23.781750","2013-10-07 14:16:20.436795"
26,804,"волчиха","2013-10-07 13:43:23.915931","2013-10-07 14:16:20.593245"
27,792,"гальбштадт","2013-10-07 13:43:24.061363","2013-10-07 14:16:20.750070"
28,783,"горняк","2013-10-07 13:43:24.206867","2013-10-07 14:16:20.895343"
29,2335,"ельцовка","2013-10-07 13:43:24.363359","2013-10-07 14:16:21.041194"
30,801,"завьялово","2013-10-07 13:43:24.531109","2013-10-07 14:16:21.186410"
31,1858,"залесово","2013-10-07 13:43:24.709752","2013-10-07 14:16:21.333257"
32,98,"заринск","2013-10-07 13:43:24.877376","2013-10-07 14:16:21.467655"
33,784,"змеиногорск","2013-10-07 13:43:25.024332","2013-10-07 14:16:21.624061"
34,787,"зональное","2013-10-07 13:43:25.180869","2013-10-07 14:16:21.780737"
